Tidpunkt;Antal belagda platser;Bel„ggning (%);Inpassager;Utpassager;Anl„ggning;Adress;antal_lediga_platser
2018-01-01 00:00;131;85;32;45;S t Nicolai;Bergaliden 11;8
2018-01-01 00:15;71;46;41;101;S t Nicolai;Bergaliden 11;68
2018-01-01 00:30;41;27;17;47;S t Nicolai;Bergaliden 11;98
2018-01-01 00:45;37;24;11;15;S t Nicolai;Bergaliden 11;102
2018-01-01 01:00;32;21;10;15;S t Nicolai;Bergaliden 11;107
2018-01-01 01:15;28;18;4;8;S t Nicolai;Bergaliden 11;111
2018-01-01 01:30;34;22;10;4;S t Nicolai;Bergaliden 11;105
2018-01-01 01:45;32;21;7;9;S t Nicolai;Bergaliden 11;107
2018-01-01 02:00;33;21;4;3;S t Nicolai;Bergaliden 11;106
2018-01-01 02:15;29;19;0;4;S t Nicolai;Bergaliden 11;110
2018-01-01 02:30;26;17;4;7;S t Nicolai;Bergaliden 11;113
2018-01-01 02:45;25;16;3;4;S t Nicolai;Bergaliden 11;114
2018-01-01 03:00;21;14;1;5;S t Nicolai;Bergaliden 11;118
2018-01-01 03:15;16;10;3;8;S t Nicolai;Bergaliden 11;123
2018-01-01 03:30;14;9;1;3;S t Nicolai;Bergaliden 11;125
2018-01-01 03:45;13;8;2;3;S t Nicolai;Bergaliden 11;126
2018-01-01 04:00;9;6;0;4;S t Nicolai;Bergaliden 11;130
2018-01-01 04:15;11;7;2;0;S t Nicolai;Bergaliden 11;128
2018-01-01 04:30;8;5;0;3;S t Nicolai;Bergaliden 11;131
2018-01-01 04:45;6;4;2;4;S t Nicolai;Bergaliden 11;133
2018-01-01 05:00;4;3;1;3;S t Nicolai;Bergaliden 11;135
2018-01-01 05:15;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 05:30;2;1;2;4;S t Nicolai;Bergaliden 11;137
2018-01-01 05:45;0;0;1;3;S t Nicolai;Bergaliden 11;139
2018-01-01 06:00;2;1;2;0;S t Nicolai;Bergaliden 11;137
2018-01-01 06:15;4;3;3;1;S t Nicolai;Bergaliden 11;135
2018-01-01 06:30;4;3;1;1;S t Nicolai;Bergaliden 11;135
2018-01-01 06:45;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 07:00;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 07:15;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 07:30;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 07:45;4;3;0;0;S t Nicolai;Bergaliden 11;135
2018-01-01 08:00;7;5;3;0;S t Nicolai;Bergaliden 11;132
2018-01-01 08:15;7;5;0;0;S t Nicolai;Bergaliden 11;132
2018-01-01 08:30;7;5;0;0;S t Nicolai;Bergaliden 11;132
2018-01-01 08:45;8;5;3;2;S t Nicolai;Bergaliden 11;131
2018-01-01 09:00;8;5;0;0;S t Nicolai;Bergaliden 11;131
2018-01-01 09:15;7;5;0;1;S t Nicolai;Bergaliden 11;132
2018-01-01 09:30;7;5;1;1;S t Nicolai;Bergaliden 11;132
2018-01-01 09:45;7;5;2;2;S t Nicolai;Bergaliden 11;132
2018-01-01 10:00;7;5;0;0;S t Nicolai;Bergaliden 11;132
2018-01-01 10:15;8;5;1;0;S t Nicolai;Bergaliden 11;131
